         7888148 function calls (7801200 primitive calls) in 16.864 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(<module>)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(all)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(any)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(argsort)
        4    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(atleast_1d)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(bincount)
       62    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(can_cast)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(concatenate)
       47    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(copyto)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(cumsum)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(empty_like)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(linspace)
        3    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(ndim)
       86    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(prod)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(result_type)
        4    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(trim_zeros)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(where)
        1    0.000    0.000    0.000    0.000 <decorator-gen-0>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-100>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-100>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-101>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-102>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-103>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-103>:1(_random_state)
        1    0.000    0.000    0.000    0.000 <decorator-gen-104>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-105>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-105>:1(_random_state)
        1    0.000    0.000    0.000    0.000 <decorator-gen-106>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-107>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-107>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-108>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-108>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-109>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-10>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-110>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-111>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-111>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-112>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-112>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-113>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-114>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-115>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-115>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-116>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-116>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-117>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-118>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-119>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-119>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-11>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-11>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-120>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-121>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-121>:1(_random_state)
        1    0.000    0.000    0.000    0.000 <decorator-gen-122>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-122>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-123>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-124>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-125>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-125>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-126>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-127>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-127>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-128>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-129>:1(<module>)
