Wed Nov  4 15:51:04 2020    parserFindFacetsResults.dat

         16134 function calls (16133 primitive calls) in 0.042 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      347    0.012    0.000    0.022    0.000 /home/ff/.local/lib/python3.8/site-packages/bs4/element.py:1980(search_tag)
        3    0.007    0.002    0.039    0.013 /home/ff/.local/lib/python3.8/site-packages/bs4/element.py:738(_find_all)
      928    0.006    0.000    0.029    0.000 /home/ff/.local/lib/python3.8/site-packages/bs4/element.py:2043(search)
  348/347    0.005    0.000    0.008    0.000 /home/ff/.local/lib/python3.8/site-packages/bs4/element.py:2076(_matches)
      947    0.002    0.000    0.002    0.000 /home/ff/.local/lib/python3.8/site-packages/bs4/element.py:1802(descendants)
      356    0.002    0.000    0.003    0.000 /home/ff/.local/lib/python3.8/site-packages/bs4/element.py:1943(_normalize_search_value)
     6055    0.001    0.000    0.003    0.000 {built-in method builtins.isinstance}
     1024    0.001    0.000    0.001    0.000 /usr/lib/python3.8/abc.py:96(__instancecheck__)
        1    0.001    0.001    0.041    0.041 /home/ff/nlpproject/prototype/dailyParser/dailyMailparser.py:27(findFacets)
      930    0.001    0.000    0.003    0.000 {built-in method builtins.next}
      346    0.001    0.000    0.001    0.000 /home/ff/.local/lib/python3.8/site-packages/bs4/element.py:1376(get)
     1646    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
      359    0.000    0.000    0.000    0.000 /home/ff/.local/lib/python3.8/site-packages/bs4/element.py:1419(__bool__)
     1024    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
       77    0.000    0.000    0.001    0.000 /usr/lib/python3.8/tokenize.py:429(_tokenize)
       75    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
       16    0.000    0.000    0.000    0.000 {method 'write' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.8/inspect.py:947(getblock)
        8    0.000    0.000    0.000    0.000 /home/ff/.local/lib/python3.8/site-packages/bs4/element.py:1229(_all_strings)
      363    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       72    0.000    0.000    0.000    0.000 /usr/lib/python3.8/re.py:289(_compile)
       28    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
